fid	AUC	study
550	GT52	0.498672320862397	PRJNA891951
551	GT52	0.5	PRJNA293971
552	GT52	0.474017094017094	PRJNA306884
553	GT52	0.50292747114781	PRJNA428736
554	GT56	0.499418829910887	PRJEB41443
555	GT56	0.448562540227419	PRJNA560950
556	GT56	0.456824324324324	PRJNA780023
557	GT56	0.501347495244134	PRJNA891951
558	GT56	0.5125	PRJNA293971
559	GT56	0.501025641025641	PRJNA306884
560	GT56	0.514039789463518	PRJNA428736
561	GT66	0.455056179775281	PRJEB41443
562	GT66	0.424104269470071	PRJNA560950
563	GT66	0.520033783783784	PRJNA780023
564	GT66	0.490765694356373	PRJNA891951
565	GT66	0.49875	PRJNA293971
566	GT66	0.464102564102564	PRJNA306884
567	GT66	0.482632852865904	PRJNA428736
568	GT73	0.500193723363038	PRJEB41443
569	GT73	0.468461703497104	PRJNA560950
570	GT73	0.450472972972973	PRJNA780023
571	GT73	0.50285351934052	PRJNA891951
572	GT73	0.5125	PRJNA293971
573	GT73	0.47008547008547	PRJNA306884
574	GT73	0.521215111787146	PRJNA428736
575	GT8	0.464161177838047	PRJEB41443
576	GT8	0.48530358292212	PRJNA560950
577	GT8	0.502128378378378	PRJNA780023
578	GT8	0.462507926442613	PRJNA891951
579	GT8	0.51	PRJNA293971
580	GT8	0.481111111111111	PRJNA306884
581	GT8	0.493067627601526	PRJNA428736
582	GT81	0.5	PRJEB41443
583	GT81	0.496352714009869	PRJNA560950
584	GT81	0.544189189189189	PRJNA780023
585	GT81	0.505627774254914	PRJNA891951
586	GT81	0.49875	PRJNA293971
587	GT81	0.454786324786325	PRJNA306884
588	GT81	0.479261734028683	PRJNA428736
589	GT84	0.462223944207671	PRJEB41443
590	GT84	0.475112636773225	PRJNA560950
591	GT84	0.530810810810811	PRJNA780023
592	GT84	0.509610811667723	PRJNA891951
593	GT84	0.504375	PRJNA293971
594	GT84	0.45008547008547	PRJNA306884
595	GT84	0.49642516538703	PRJNA428736
596	GT85	0.5	PRJEB41443
597	GT85	0.496728169920618	PRJNA560950
598	GT85	0.489256756756757	PRJNA780023
599	GT85	0.5	PRJNA891951
600	GT85	0.5	PRJNA293971
601	GT85	0.488205128205128	PRJNA306884
602	GT85	0.49649005263412	PRJNA428736
603	GT87	0.5	PRJEB41443
604	GT87	0.391654151469642	PRJNA560950
605	GT87	0.447905405405405	PRJNA780023
606	GT87	0.499762206721623	PRJNA891951
607	GT87	0.5	PRJNA293971
608	GT87	0.487008547008547	PRJNA306884
609	GT87	0.486431020329325	PRJNA428736
610	GT89	0.5	PRJEB41443
611	GT89	0.466423514267325	PRJNA560950
612	GT89	0.495675675675676	PRJNA780023
613	GT89	0.5	PRJNA891951
614	GT89	0.486875	PRJNA293971
615	GT89	0.488205128205128	PRJNA306884
616	GT89	0.49827369742624	PRJNA428736
617	GT9	0.479271600154979	PRJEB41443
618	GT9	0.488199957090753	PRJNA560950
619	GT9	0.533648648648649	PRJNA780023
620	GT9	0.471345909955612	PRJNA891951
621	GT9	0.5175	PRJNA293971
622	GT9	0.521196581196581	PRJNA306884
623	GT9	0.490698488579844	PRJNA428736
624	PL11	0.44711352189074	PRJEB41443
625	PL11	0.419652435099764	PRJNA560950
626	PL11	0.543716216216216	PRJNA780023
627	PL11	0.504914394419784	PRJNA891951
628	PL11	0.4675	PRJNA293971
629	PL11	0.521709401709402	PRJNA306884
630	PL11	0.468679076729924	PRJNA428736
631	PL12	0.564509879891515	PRJEB41443
632	PL12	0.416970607165844	PRJNA560950
633	PL12	0.505675675675676	PRJNA780023
634	PL12	0.508758719086874	PRJNA891951
635	PL12	0.48625	PRJNA293971
636	PL12	0.514188034188034	PRJNA306884
637	PL12	0.46828975324738	PRJNA428736
638	PL13	0.571096474234793	PRJEB41443
639	PL13	0.428770650075091	PRJNA560950
640	PL13	0.50472972972973	PRJNA780023
641	PL13	0.503923589093215	PRJNA891951
642	PL13	0.485	PRJNA293971
643	PL13	0.514358974358974	PRJNA306884
644	PL13	0.461031435607707	PRJNA428736
645	PL21	0.547074777218132	PRJEB41443
646	PL21	0.420510620038618	PRJNA560950
647	PL21	0.510675675675676	PRJNA780023
